ra,mag,decrad,con
3.008254,8.33,-0.780843585,Phoenix
1.547391,7.91,-0.40289989,Cetus
0.476873,8.82,0.295042612,Aries
1.976591,9.38,-0.396071787,Eridanus
3.725013,8.07,0.199779671,Taurus
3.176044,9.47,0.188824004,Pisces
2.120091,8.97,-0.672869313,Fornax
0.290152,7.03,0.677905173,Andromeda
0.746639,7.75,1.093812508,Cassiopeia
2.471163,10.01,-1.298386099,Hydrus
2.545666,8.73,0.905604378,Perseus
0.953622,9.46,1.112774566,Cassiopeia
2.677781,8.87,0.786933643,Perseus
2.304039,7.57,-0.882301067,Horologium
1.935519,8.86,-0.099151667,Eridanus
1.271372,9.74,-0.327182728,Cetus
2.50141,8.54,-1.458564648,Hydrus
2.301275,8.01,-0.833995448,Horologium
2.045398,9.17,-0.452306251,Fornax
2.665995,8.85,0.557724039,Perseus
2.950176,8.46,-1.000795831,Phoenix
3.745831,6.93,0.621480312,Triangulum
2.571576,7.37,0.982569947,Perseus
2.966263,8.99,-0.921867197,Phoenix
2.34148,6.7,-0.825834982,Horologium
3.823313,7.22,-1.010765713,Tucana
2.381969,9.4,-1.163703885,Hydrus
0.90659,9.84,1.038600795,Cassiopeia
3.780507,8.77,0.645181594,Triangulum
1.468623,7.91,-0.294789239,Cetus
1.361613,8.08,-0.151105314,Cetus
3.503039,7.74,-0.48207984,Sculptor
1.771979,7.64,-0.344815305,Eridanus
0.666051,8.52,1.166213269,Cassiopeia
1.741367,9.66,-0.706097052,Eridanus
2.320159,7.12,-0.964280533,Horologium
0.74542,7.26,1.151412088,Cassiopeia
3.472765,8.12,-0.505807609,Sculptor
1.787357,8.08,-0.413458307,Eridanus
3.171829,11.49,0.135932074,Pisces
0.833626,7.57,1.304498855,Cassiopeia
2.386868,8.33,-1.217006127,Hydrus
0.299151,7.95,0.833242169,Andromeda
0.323799,8.88,0.431725258,Aries
0.364277,8.06,0.276094917,Aries
1.785863,5.22,-0.048570363,Eridanus
2.470655,8.64,-1.207645441,Hydrus
3.586155,9.67,-0.54036705,Sculptor
0.73798,8.61,1.041201934,Cassiopeia
1.207935,8.91,0.013717943,Cetus
0.966781,8.87,1.06117776,Cassiopeia
2.900754,9.15,-0.779070101,Phoenix
1.178526,7.57,-0.171607781,Cetus
3.68976,9.17,0.398957204,Taurus
3.27935,7.16,0.17077813,Pisces
2.068603,7.59,-0.591606641,Fornax
3.803295,6.78,0.598024294,Triangulum
2.759052,9.21,0.870398454,Perseus
1.491816,7.97,0.134489795,Cetus
3.305495,8.69,0.358871318,Pisces
1.207507,7.65,-0.011774216,Cetus
1.793996,6.11,-0.050241361,Eridanus
3.367971,6.73,0.056264342,Pisces
1.606847,10.46,0.123418614,Cetus
2.03889,7.06,-0.492518995,Fornax
3.180321,7.73,0.055867976,Pisces
1.965613,6.55,-0.025364105,Eridanus
1.056419,5.93,-0.392848477,Cetus
3.544449,8.98,-0.473127325,Sculptor
0.86987,6.52,1.136270474,Cassiopeia
0.287739,8.37,0.713706929,Andromeda
2.618489,7.6,0.618728161,Perseus
3.306229,5.97,0.357250872,Pisces
0.530408,6.49,1.051659869,Camelopardalis
3.145136,7.48,0.362957883,Pisces
1.62394,6.6,0.035225529,Cetus
3.742744,8.54,0.024232895,Taurus
2.016963,7.04,-0.426241227,Fornax
3.809885,8.67,0.590226769,Triangulum
2.979352,8.25,-0.937515403,Phoenix
3.455201,8.01,-0.561171816,Sculptor
0.693302,9.16,1.019783787,Cassiopeia
2.083761,8.08,-0.659818614,Fornax
2.5301,9.15,0.239989494,Pegasus
1.03381,10.09,1.3735809,Cepheus
2.231228,7.87,-1.140326456,Horologium
3.818694,9.26,-1.160891818,Tucana
2.73286,8.04,0.721467423,Perseus
2.658044,6.61,0.566549198,Perseus
0.882579,9.26,1.177491779,Cassiopeia
0.168534,9.1,0.624810277,Andromeda
0.792761,8.25,0.948744904,Cassiopeia
0.106936,7.99,0.691216882,Andromeda
2.111448,9.54,-0.635730024,Fornax
1.92213,8.5,-0.044652475,Eridanus
1.463056,7.56,-0.041824396,Cetus
3.071863,5.13,-0.052839909,Pisces
3.607243,8.14,-0.513009216,Sculptor
0.932093,9.77,1.309408749,Cassiopeia
3.768539,8.55,0.482242559,Triangulum
3.540631,10.33,-0.536809483,Sculptor
3.177331,8.9,0.193927895,Pisces
1.705784,8.92,-0.87588042,Eridanus
1.972201,8.18,-0.18011582,Eridanus
2.899843,10.36,-0.705649559,Phoenix
3.892587,6.91,-1.176893538,Tucana
2.577497,7.39,0.995349914,Perseus
2.292749,8.15,-0.85456103,Horologium
2.837438,9.64,-0.967000902,Phoenix
3.566382,8.2,-0.604998238,Sculptor
3.309039,8.89,0.384639942,Pisces
3.750542,8.39,0.525272571,Triangulum
3.026319,8.66,-0.71764537,Phoenix
1.456608,7.42,-0.225612567,Cetus
2.97188,9.47,-0.899454709,Phoenix
1.128737,7.88,-0.059353385,Cetus
1.097622,9.33,-0.358025858,Cetus
3.498994,9.27,-0.644668681,Sculptor
2.712778,8.6,0.789608836,Perseus
3.146084,6.05,0.177846392,Pisces
3.200918,7.38,0.238216147,Pisces
1.21435,7.34,-0.081129889,Cetus
3.882083,9.5,-1.122418375,Tucana
3.078706,8.82,0.00098615,Pisces
3.208877,8.62,0.460823238,Pisces
1.519119,7.72,-0.177969741,Cetus
0.006572,6.8,0.845383501,Andromeda
3.252099,7.61,0.383571129,Pisces
2.554036,9.81,0.987060114,Perseus
2.208627,9.25,-0.532470597,Fornax
3.035243,8.37,-0.769751708,Phoenix
3.076664,8.09,-0.015601042,Pisces
0.607148,5.86,0.836840089,Cassiopeia
1.567043,5.53,-0.136687155,Cetus
3.668068,5.82,0.010258306,Taurus
0.928069,11.62,1.038131888,Cassiopeia
0.9904,9.44,1.374246343,Cepheus
1.951597,8.49,-0.376696402,Eridanus
1.509269,8.43,-0.265928517,Cetus
0.826176,9.81,1.286464497,Cassiopeia
1.793507,9.45,-0.841437538,Eridanus
1.534201,8.05,-0.324963722,Cetus
0.360454,9.03,0.32884325,Aries
1.586223,8.48,0.143167849,Cetus
3.607592,11.44,-0.459085715,Sculptor
1.113032,7.07,-0.318033778,Cetus
1.291436,8.39,-0.340949062,Cetus
3.767472,8.38,0.503747558,Triangulum
1.466939,8.59,-0.153874104,Cetus
0.962155,7.69,1.328156209,Cassiopeia
3.204054,8.92,0.087355622,Pisces
2.301878,7.84,-0.860959602,Horologium
0.94508,11.13,1.109103316,Cassiopeia
2.368506,9.56,-1.209193242,Hydrus
0.091117,6.51,0.475685353,Andromeda
2.016502,8.87,-0.457669236,Fornax
2.742293,8.47,0.616809394,Perseus
0.135998,8.67,0.693095798,Andromeda
1.698944,9.35,-0.954090807,Eridanus
3.295349,7.87,0.316295372,Pisces
1.970761,9.16,-0.345436124,Eridanus
1.097544,8.6,-0.016226153,Cetus
2.766515,9.36,0.62980162,Perseus
1.638866,6.72,0.108676264,Cetus
2.351919,10.09,-1.380245972,Hydrus
0.093404,8.45,0.439288381,Andromeda
1.712013,9.79,-0.86426566,Eridanus
0.680449,7.81,1.347569317,Cassiopeia
3.802367,5.38,0.605412103,Triangulum
2.746367,9.12,0.727342757,Perseus
2.450273,9.26,-1.216441101,Hydrus
2.488156,7.74,-1.490728304,Hydrus
1.855605,7.02,-0.182262524,Eridanus
2.309353,8.43,-0.986382174,Horologium
0.497686,8.48,0.268896371,Aries
2.280657,8.05,-1.114721738,Horologium
0.600235,8.31,0.877942204,Cassiopeia
3.568735,9.53,-0.570027206,Sculptor
2.692439,7.53,0.785728827,Perseus
0.858059,7.75,1.332907835,Cassiopeia
1.257679,5.14,-0.138279395,Cetus
0.58149,7.94,0.969546113,Cassiopeia
1.693131,10.01,-1.00711375,Eridanus
0.686867,8.5,0.884090032,Cassiopeia
2.931438,8.62,-0.875326732,Phoenix
0.679999,9.89,1.060152972,Cassiopeia
3.245556,5.55,0.374642646,Pisces
0.874493,9.34,1.090842469,Cassiopeia
3.393492,10.28,-1.095858981,Reticulum
2.220027,7.9,-0.525295729,Fornax
1.492155,10.67,0.007879425,Cetus
0.722531,9.15,0.872629205,Cassiopeia
3.229341,9.95,0.12214742,Pisces
1.658513,9.86,0.070580045,Cetus
1.107502,8.94,-0.374580789,Cetus
2.188586,8.73,-0.569645578,Fornax
3.34108,8.99,0.366428446,Pisces
0.267553,8.11,0.723735988,Andromeda
1.665572,6.73,0.025894099,Cetus
1.859036,7.85,-0.74299437,Eridanus
2.529297,8.98,0.237276808,Pegasus
2.832814,7.42,-0.8804568,Phoenix
2.277937,9.36,-0.946923348,Horologium
3.188549,9.83,0.072313542,Pisces
1.431212,9.78,-0.406056115,Cetus
2.402635,8.69,-1.179639521,Hydrus
1.3305,9.07,-0.111809676,Cetus
1.468517,9.03,-0.289043954,Cetus
2.316272,9.01,-0.968090902,Horologium
1.942137,9.16,-0.35858582,Eridanus
0.06731,7.64,0.505107008,Andromeda
0.137119,8.56,0.420049891,Andromeda
1.727881,6.35,-0.707345385,Eridanus
3.434253,9.6,-0.452309959,Sculptor
0.615517,8.42,0.933417329,Cassiopeia
2.46068,8.85,-1.385600115,Hydrus
1.646299,7.01,0.133395889,Cetus
1.047522,8.09,-0.208485987,Cetus
1.989817,9.6,-0.597538116,Fornax
1.061782,11.8,-0.361723175,Cetus
1.422472,8.1,0.028103212,Cetus
3.071387,9.96,-0.019896051,Pisces
0.25267,8.94,0.624637782,Andromeda
3.335071,8.96,0.389535322,Pisces
3.126052,7.36,-0.057802221,Pisces
1.346841,8.8,-0.077883848,Cetus
2.064984,8.87,-0.55498692,Fornax
0.564786,8.26,0.966012818,Camelopardalis
0.844049,9.26,1.093983068,Cassiopeia
3.140474,7.87,0.10636725,Pisces
2.375888,8.16,-1.179321361,Hydrus
1.12024,9.39,-0.337411665,Cetus
3.4817,9.25,-0.478076703,Sculptor
3.215321,6.3,0.239037939,Pisces
2.361999,9.91,-1.090488415,Hydrus
1.623619,7.04,0.007623085,Cetus
1.225878,9.52,-0.215224195,Cetus
2.04273,8.79,-0.635497041,Fornax
3.326476,10.45,0.147361464,Pisces
1.023638,6.46,1.390879751,Cepheus
1.488243,7.71,-0.035609223,Cetus
3.674766,7.84,0.047609986,Taurus
1.775336,7.9,-0.262142477,Eridanus
0.611953,8.77,0.976885363,Cassiopeia
0.157834,7.26,0.724543115,Andromeda
0.686602,6.41,1.039771856,Cassiopeia
3.110993,8.35,0.210179571,Pisces
3.211306,8.39,0.309377516,Pisces
0.817961,7.89,1.050911633,Cassiopeia
0.665436,5.45,0.861400071,Cassiopeia
0.218332,4.96,0.708203107,Andromeda
3.829582,4.23,-1.132278698,Tucana
0.026979,8.73,0.472965963,Andromeda
2.969216,8.84,-0.903276631,Phoenix
1.70827,8.44,-0.930535936,Eridanus
1.670916,8.86,0.043085479,Cetus
0.876675,7.62,1.135117199,Cassiopeia
0.453094,8.28,0.341666688,Aries
1.892128,9.52,-0.742150697,Eridanus
1.634592,7.69,0.178796982,Cetus
2.206191,9.08,-0.420412063,Fornax
3.654737,9.01,-0.022609761,Taurus
1.455095,9.3,-0.122183918,Cetus
3.302058,9.5,0.222546041,Pisces
2.819671,5.78,0.599679752,Perseus
3.537564,9.86,-0.600813841,Sculptor
1.66039,6.96,0.118680441,Cetus
2.852417,8.57,-0.713716336,Phoenix
2.610495,8.5,0.862475919,Perseus
3.381877,10.89,0.061422504,Pisces
1.19319,9.95,-0.364014743,Cetus
