id,ra,dec,mag,x,y,z,rarad,decrad,con
106,0.022013,49.981558,6.22,128.347884,0.73972,152.861641,0.005763022,0.872342747,Cas
107,0.022255,-50.337373,5.53,106.198875,0.618768,-128.089244,0.005826258,-0.8785529,Phe
108,0.022439,-70.125272,8.53,33995.89104,199.746918,-94043.81688,0.005874502,-1.223916882,Tuc
109,0.023106,6.79147,7.23,171.496567,1.037433,20.424207,0.006049215,0.11853351,Psc
110,0.023242,39.610717,8.61,38.232255,0.232625,31.641104,0.006084836,0.691337436,And
111,0.023314,34.281848,11.28,31.80371,0.194195,21.680663,0.006103673,0.598331124,And
112,0.023843,-16.948446,10.76,30.727669,0.191824,-9.364349,0.006242051,-0.295806187,Cet
113,0.024375,49.010406,8.93,65590.85947,418.558353,75482.87199,0.006381272,0.855392951,Cas
114,0.024777,30.735785,7.95,101.238423,0.656689,60.197798,0.006486533,0.536440652,Peg
115,0.024839,-62.92313,7.46,117.616488,0.76485,-230.076621,0.006502942,-1.0982158,Tuc
116,0.025022,-33.792771,8.6,104.139967,0.682192,-69.6981,0.00655083,-0.589795117,Scl
117,0.025363,-72.605899,8.55,279.379379,1.855655,-891.842124,0.006640148,-1.267211998,Tuc
118,0.025773,-9.430033,9.2,76.588865,0.51678,-12.720744,0.00674733,-0.164585129,Cet
119,0.026012,44.675401,6.82,110.588637,0.753085,109.345178,0.006809863,0.779732844,And
120,0.026396,-45.344759,8.29,290.422468,2.006886,-293.945731,0.006910474,-0.791415338,Phe
121,0.026429,28.423691,6.83,198.966112,1.376651,107.6895,0.006919022,0.496086997,Peg
122,0.026616,-77.065724,4.78,14.902031,0.103716,-64.888859,0.006968083,-1.34505063,Oct
123,0.026675,72.236615,7.21,51.620824,0.360284,161.13768,0.006983626,1.260766776,Cep
124,0.026949,61.222801,5.58,454.144163,3.204116,826.885007,0.007055293,1.068539449,Cas
125,0.026979,-39.336748,8.7,171.869877,1.213907,-140.861556,0.007063069,-0.686555773,Phe
126,0.027255,14.632324,8.06,290.553207,2.07324,75.860439,0.007135318,0.255382231,Peg
127,0.027479,-48.935619,10.86,55.715803,0.400884,-63.950089,0.007194101,-0.854087676,Phe
128,0.027597,73.611846,6.5,19.96712,0.144423,67.896054,0.007224759,1.28476909,Cep
129,0.027708,5.372808,9.32,166.485023,1.20768,15.658167,0.007253854,0.093773193,Psc
130,0.027886,-30.692537,9.14,262.965094,1.919858,-156.095081,0.007300566,-0.535685823,Scl
131,0.027994,62.018087,8.13,58.72091,0.430319,110.525093,0.007328767,1.082419819,Cas
